image_path,source_dataset,plantwild_label,plantguard_label,label_index,mapping_status
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0052.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0082.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0008.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0051.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0072.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_38.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_167.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0026.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0080.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0002.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0101.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0005.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0085.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0056.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0136.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_28.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0097.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0016.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_7.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0073.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0174.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_11.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0078.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0028.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0037.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0166.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0155.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_google_0137.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_53.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_6.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
data/raw/plantwild_v2/apple black rot/apple_black_rot_80.jpg,plantwild_v2,apple_black_rot,Apple___Black_rot,1,existing_plantguard_label
